N:10880
M:79988
Fixing indices with minimum=1
Unique M:79988
Generating order...
---------------------------
No vertices is 10880
No edges is 79988
---------------------------
Min deg: 0
Max deg: 103
Avg deg: 7.35184
---------------------------
# deg 0: 4
# deg 1: 2467
# deg 2: 1439
# deg 3: 804
---------------------------
# deg>=32: 95
# deg>=64: 6
# deg>=128: 0
# deg>=256: 0
# deg>=512: 0
# deg>=1024: 0
---------------------------

Running with 32 threads 
largest component graph obtained with 10876 vertices 79988 edges -- 79988
starting degree computation
Deg-cent is computed in 3.14489e-05 seconds
Ordering based on degree...
Constructed BP Labels in 0.0115712 seconds
Preprocessing: 0.0153939 seconds
Memory Allocations: 0.270299 seconds
Total Initial Memory: 6189 MB
Init. Data Structures: 0.000514612 seconds
Level 0: 2.46204e-05 seconds
Level 1: 0.0107587 seconds
u=9812, cache_time=111891, prune_time=2850715, alloc_time=8804476, write_time=1186443 
u=6269, cache_time=93549, prune_time=2121575, alloc_time=10733642, write_time=9914 
u=7316, cache_time=3720, prune_time=33362, alloc_time=11164295, write_time=597175 
u=8318, cache_time=3231, prune_time=1974369, alloc_time=12042406, write_time=106689 
u=6497, cache_time=418798, prune_time=1381571, alloc_time=10761428, write_time=22450 
u=6561, cache_time=6287, prune_time=66804, alloc_time=14567312, write_time=16686 
u=6448, cache_time=3430, prune_time=71772, alloc_time=9646975, write_time=2481446 
u=7824, cache_time=26675, prune_time=68678, alloc_time=14365220, write_time=11587 
u=8424, cache_time=72435, prune_time=1593251, alloc_time=10449819, write_time=1567031 
u=7088, cache_time=6005, prune_time=43583, alloc_time=13101261, write_time=1105154 
u=6313, cache_time=251315, prune_time=4570985, alloc_time=4187873, write_time=12996 
u=6266, cache_time=5174, prune_time=44229, alloc_time=14189943, write_time=10185 
u=7819, cache_time=106768, prune_time=7433004, alloc_time=5902647, write_time=62326 
u=7564, cache_time=295213, prune_time=11261783, alloc_time=282987, write_time=144089 
u=6757, cache_time=113778, prune_time=5639352, alloc_time=8025810, write_time=126623 
u=7867, cache_time=438602, prune_time=2223839, alloc_time=7910758, write_time=83461 
u=6427, cache_time=3272, prune_time=36023, alloc_time=14701981, write_time=10172 
u=7049, cache_time=408704, prune_time=4293819, alloc_time=1990930, write_time=20407 
u=6620, cache_time=4242, prune_time=328867, alloc_time=10509237, write_time=3741216 
u=6640, cache_time=3442, prune_time=119478, alloc_time=9842717, write_time=3950819 
u=6021, cache_time=7021, prune_time=51228, alloc_time=14175368, write_time=10493 
u=6466, cache_time=3551, prune_time=5566451, alloc_time=6308624, write_time=2230064 
u=8397, cache_time=7001, prune_time=61490, alloc_time=13983788, write_time=19382 
u=6625, cache_time=5759, prune_time=11789055, alloc_time=2269371, write_time=161363 
u=7388, cache_time=102508, prune_time=8619058, alloc_time=5312339, write_time=57404 
u=7075, cache_time=6824, prune_time=416389, alloc_time=14455365, write_time=85934 
u=9325, cache_time=137514, prune_time=934074, alloc_time=12406606, write_time=11852 
u=7698, cache_time=11937, prune_time=14105670, alloc_time=34759, write_time=60110 
u=8758, cache_time=182194, prune_time=8922263, alloc_time=4619478, write_time=34553 
u=8265, cache_time=7298, prune_time=359966, alloc_time=14175088, write_time=111252 
